state,age,rentOrOwn,employmentYear,nPaidOff,requestedAmount,income,payFreq,Product,leadProvider,loanStatus
OH,35,O,5,0,300,2500,W,AA,AA,Active
IL,57,O,0,0,500,6000,W,AA,K,Active
TX,49,O,5,1,1750,6000,W,AA,K,Active
MO,37,O,5,0,1000,4500,W,AA,AA,Active
TX,42,O,1,0,300,4250,M,AA,AA,Active
WI,27,R,5,0,300,2000,B,AA,Q,Active
TX,58,O,5,0,300,5833,M,AA,T,Default
MO,59,O,5,0,600,2500,B,AA,K,Active
SC,49,R,1,1,800,3500,W,AA,K,Active
IL,49,O,11,0,1000,6000,B,AA,AA,Active
WI,31,R,3,0,500,4000,B,AA,K,Default
SC,55,R,3,0,600,2100,B,AA,AA,Default
IL,72,R,5,0,1000,5833,B,AA,J,Active
TX,43,O,1,0,1500,5000,W,AA,AA,Default
OH,53,O,0,0,500,4000,B,AA,J,Default
IL,32,R,3,0,375,2000,W,AA,AA,Active
OH,41,O,9,1,1500,3500,B,AA,J,Active
OH,45,R,1,0,400,3000,B,AA,K,Default
WI,41,O,2,0,700,5000,B,AA,E,Active
OH,48,R,9,0,600,3500,B,AA,H,Active
OH,31,R,1,0,500,3250,B,AA,P,Active
OH,40,O,2,0,300,1500,B,AA,K,Active
OH,38,R,2,1,600,4167,W,AA,K,Active
IL,38,R,4,0,500,5000,B,AA,K,Active
WI,63,R,5,1,800,4001,B,AA,E,Active
SC,47,O,8,1,300,3000,W,AA,K,Active
OH,60,O,5,0,700,3333,B,AA,J,Active
SC,50,O,2,0,700,2167,B,AA,AA,Default
IL,52,O,5,0,1000,4000,B,AA,K,Active
OH,44,R,6,0,800,3250,W,AA,K,Active
IL,44,R,9,0,400,7042,B,AA,J,Active
WI,49,R,2,0,500,3400,B,AA,J,Active
IL,53,R,9,0,350,3250,B,AA,AA,Active
OH,46,R,1,0,900,4500,B,AA,AA,Active
IL,60,R,2,0,600,2033,B,AA,AA,Active
OH,48,R,15,0,400,2100,B,AA,AA,Default
OH,47,O,2,0,1000,5417,B,AA,AA,Active
TX,44,O,5,1,300,5250,W,AA,K,Active
OH,40,O,5,1,400,3850,B,AA,K,Active
IL,35,R,3,0,300,1500,B,AA,Q,Active
TX,60,O,5,0,1200,3750,M,AA,AA,Active
OH,59,O,0,0,1250,5001,B,AA,AA,Active
TX,37,R,2,0,500,4000,B,AA,K,Active
IL,40,R,5,0,400,2350,B,AA,Q,Active
TX,35,R,2,0,600,2001,B,AA,T,Active
OH,41,O,0,0,1500,4500,W,AA,AA,Active
IL,43,R,2,0,500,3700,B,AA,Q,Default
MO,60,R,3,1,300,5331,B,AA,AA,Active
OH,44,R,0,0,300,1600,B,AA,AA,Active
TX,45,O,5,1,800,3000,W,AA,K,Active
OH,44,R,0,1,1500,2850,W,AA,E,Active
IL,44,R,3,0,400,2000,W,AA,K,Active
OH,28,R,2,0,400,2250,B,AA,N,Default
OH,49,O,5,1,400,4000,B,AA,K,Active
MO,43,O,6,0,500,3000,W,AA,K,Active
MO,40,R,3,0,1500,2500,B,AA,Q,Default
MO,43,O,2,1,1500,5001,S,AA,J,Active
OH,65,O,5,1,800,3500,B,AA,AA,Active
TX,45,O,2,0,2000,8000,B,AA,J,Active
WI,27,R,3,0,500,2300,B,AA,Q,Active
OH,42,R,5,0,350,2000,B,AA,AA,Active
OH,43,R,9,0,1500,4500,B,AA,K,Active
TX,30,R,1,0,400,2250,W,AA,J,Active
SC,39,O,3,0,700,2450,B,AA,Q,Active
OH,34,O,2,1,400,2250,B,AA,K,Active
OH,46,O,6,0,800,3000,B,AA,K,Active
MO,47,R,3,0,1000,4000,B,AA,K,Active
OH,44,O,0,0,800,4000,B,AA,E,Active
MO,60,R,5,1,600,2500,M,AA,AA,Active
OH,57,R,3,1,1250,5500,B,AA,O,Active
IL,52,R,5,0,600,5000,B,AA,K,Active
MI,38,O,5,0,500,4000,B,AA,AA,Active
OH,36,O,4,0,500,3000,W,AA,K,Active
OH,47,R,1,0,1200,4250,W,AA,E,Active
TX,44,O,4,0,500,1500,M,AA,K,Default
OH,31,O,2,1,800,5000,B,AA,AA,Active
MO,39,R,3,1,300,5001,W,AA,AA,Active
TX,61,R,2,0,900,2000,B,AA,AA,Default
TX,62,O,1,0,500,3000,B,AA,AA,Default
MO,53,O,5,0,700,3100,S,AA,Q,Active
TX,69,R,5,0,350,3500,M,AA,W,Active
TX,55,R,6,1,1000,3000,W,AA,AA,Active
OH,42,O,5,0,400,3000,W,AA,K,Active
OH,49,R,5,1,600,5000,B,AA,K,Active
WI,48,R,6,0,900,3500,I,AA,K,Active
OH,30,R,2,0,400,2500,B,AA,W,Active
WI,30,R,2,0,100,1250,B,AA,J,Active
OH,39,R,2,1,400,3000,B,AA,K,Active
OH,34,R,2,0,700,3000,I,AA,K,Active
IL,37,O,4,1,1000,6000,B,AA,AA,Active
OH,56,R,5,0,800,4000,W,AA,K,Active
IL,34,O,1,1,350,1500,W,AA,AA,Active
MO,54,R,5,0,800,3850,B,AA,E,Active
CA,56,R,1,0,2600,4500,B,AA,J,Active
OH,59,O,5,0,600,5000,B,AA,K,Active
OH,59,R,5,1,1000,5500,B,AA,Q,Active
IL,43,O,3,0,1000,5000,B,AA,E,Active
MO,44,O,3,0,500,5000,M,AA,AA,Active
OH,31,R,1,0,300,2750,B,AA,P,Default
SC,38,O,5,1,1250,6500,B,AA,K,Active
TX,52,R,1,0,700,3500,W,AA,K,Active
IL,39,R,0,0,500,2500,B,AA,Q,Active
MO,40,R,9,0,600,3000,W,AA,AA,Active
TX,26,O,3,0,300,2049,M,AA,Q,Active
OH,47,R,2,0,325,1750,B,AA,J,Default
MO,51,R,0,0,800,3000,I,AA,K,Active
WI,45,O,5,0,650,5000,S,AA,K,Active
OH,31,R,2,0,500,2167,W,AA,Q,Active
IL,42,R,5,0,500,4167,B,AA,Q,Default
IL,34,O,3,0,1000,4000,B,AA,K,Active
OH,45,O,5,0,500,6500,W,AA,T,Active
TX,45,R,5,0,800,6667,B,AA,K,Active
OH,48,O,2,0,600,5250,B,AA,J,Active
IL,27,R,1,0,300,1376,W,AA,O,Active
CA,59,O,5,0,3000,4000,B,AA,K,Active
SC,27,R,5,0,400,2000,B,AA,Q,Default
SC,34,R,3,0,400,5000,B,AA,T,Active
OH,49,O,5,0,400,2500,S,AA,K,Default
MO,59,R,5,0,400,2000,B,AA,K,Active
OH,46,R,1,0,300,1500,B,AA,O,Active
TX,32,O,0,0,1500,3500,M,AA,AA,Active
MO,26,R,0,0,1500,5000,B,AA,T,Default
TX,40,R,3,0,1000,2000,B,AA,AA,Active
MO,47,R,5,1,300,3000,B,AA,K,Active
WI,42,O,5,0,800,5833,B,AA,K,Active
WI,32,R,5,0,600,5000,B,AA,K,Active
IL,53,R,5,1,600,3000,W,AA,K,Active
CA,40,O,5,0,2600,5001,B,AA,AA,Default
OH,51,R,0,0,350,1750,B,AA,P,Default
MO,31,R,2,0,700,3000,B,AA,W,Active
IL,30,R,2,0,900,5000,I,AA,O,Active
MO,44,O,3,0,1000,4500,W,AA,AA,Active
OH,45,O,5,0,900,5000,B,AA,AA,Active
TX,45,R,4,0,400,2500,B,AA,T,Active
TX,45,R,1,0,700,3000,B,AA,K,Active
CA,49,O,2,0,3000,5000,B,AA,K,Active
OH,35,R,1,1,300,2625,W,AA,AA,Active
IL,55,R,5,0,500,4000,B,AA,K,Active
OH,58,R,5,1,500,3000,W,AA,K,Active
IL,28,R,2,0,400,3000,B,AA,J,Active
TX,57,O,3,0,500,2000,B,AA,AA,Active
OH,49,O,5,0,1500,4750,B,AA,P,Active
TX,56,O,9,1,600,4333,B,AA,J,Active
MO,44,O,3,0,500,2125,B,AA,K,Active
WI,41,R,1,0,500,2500,M,AA,Q,Active
IL,47,O,5,0,600,6000,W,AA,K,Default
TX,59,R,0,0,900,5500,B,AA,AA,Default
OH,61,O,5,0,500,2500,B,AA,J,Active
WI,59,O,2,0,7683,3250,B,AA,AA,Active
OH,48,R,5,0,500,4000,W,AA,E,Active
OH,31,O,5,0,700,2600,W,AA,J,Active
WI,38,R,1,0,700,4000,W,AA,K,Active
MO,66,O,3,0,1500,1500,B,AA,AA,Default
OH,38,R,0,0,300,4000,B,AA,J,Active
OH,31,R,0,1,500,3500,B,AA,W,Active
OH,53,R,9,0,700,2500,B,AA,T,Active
IL,28,R,1,1,500,2850,W,AA,J,Active
IL,44,O,6,0,500,1750,B,AA,J,Active
OH,37,O,0,0,300,2600,B,AA,E,Active
SC,26,R,0,0,600,1800,W,AA,Q,Active
IL,37,R,1,0,800,3250,B,AA,AA,Active
OH,65,R,2,0,500,2750,M,AA,P,Active
OH,26,R,1,0,200,2167,B,AA,W,Active
OH,38,O,5,1,300,4000,B,AA,P,Active
OH,41,R,5,0,400,3000,W,AA,K,Active
TX,32,O,5,1,1500,2500,B,AA,K,Active
IL,45,R,5,0,700,4875,W,AA,AA,Active
MO,51,R,0,1,1500,10000,B,AA,AA,Active
TX,34,R,1,0,300,2000,W,AA,T,Active
IL,60,R,6,0,1000,7500,B,AA,K,Active
WI,43,R,8,0,600,2500,B,AA,AA,Active
OH,38,R,3,0,500,4500,W,AA,K,Active
OH,40,O,0,0,350,2000,W,AA,Q,Active
OH,55,O,2,0,700,3500,B,AA,K,Active
TX,37,O,1,0,800,4000,W,AA,J,Default
MI,63,O,5,0,500,2500,W,AA,J,Active
OH,59,R,3,1,800,7000,B,AA,K,Active
TX,39,R,3,0,1000,4250,B,AA,J,Default
OH,54,O,2,0,600,5417,B,AA,J,Active
OH,40,R,5,0,500,3000,W,AA,K,Active
OH,53,R,3,0,700,3500,B,AA,J,Active
OH,40,R,3,1,500,3200,B,AA,W,Active
TX,53,R,1,0,300,4333,W,AA,J,Active
OH,35,R,0,0,300,4000,B,AA,AA,Default
OH,55,R,6,1,700,4500,B,AA,J,Active
OH,50,R,6,0,500,5500,B,AA,AA,Active
SC,29,R,3,0,800,2250,B,AA,O,Active
OH,49,R,3,0,400,4500,B,AA,H,Active
IL,44,R,3,0,500,2000,B,AA,K,Active
OH,48,R,10,0,500,6450,B,AA,J,Active
OH,37,R,2,1,200,2232,W,AA,Q,Active
TX,40,O,3,0,300,3500,B,AA,K,Active
MO,41,O,2,1,300,3000,B,AA,Q,Active
OH,35,O,0,0,700,3000,W,AA,T,Active
TX,53,O,3,0,900,5000,B,AA,AA,Active
OH,48,R,3,0,500,3000,B,AA,W,Active
MO,41,R,5,0,900,5000,B,AA,K,Default
OH,49,R,1,0,700,5000,B,AA,E,Active
TX,38,O,2,0,900,5000,B,AA,K,Active
IL,44,O,5,0,900,5833,B,AA,K,Active
OH,42,R,6,1,500,3500,B,AA,AA,Active
MO,48,R,2,0,700,5000,S,AA,AA,Active
OH,69,R,5,0,500,4500,B,AA,K,Active
OH,52,O,9,0,700,3500,B,AA,K,Active
MO,64,O,12,0,600,3000,B,AA,K,Active
OH,57,O,3,1,300,2750,B,AA,AA,Active
TX,57,R,2,0,500,4000,M,AA,W,Active
WI,48,R,24,0,500,3500,B,AA,K,Active
TX,38,O,6,0,1500,4000,B,AA,Q,Active
WI,58,O,35,1,300,3250,W,AA,J,Active
MO,69,R,2,1,500,3000,M,AA,AA,Active
MO,44,O,17,1,600,4250,B,AA,K,Active
TX,42,O,9,0,700,3500,B,AA,T,Active
MO,36,O,6,1,500,5000,B,AA,K,Active
MO,68,R,3,0,500,4750,B,AA,AA,Default
WI,55,O,5,1,800,2625,I,AA,K,Active
IL,28,R,1,0,400,3000,B,AA,N,Active
IL,55,O,20,1,500,6855,B,AA,O,Active
MO,49,R,6,1,900,4500,B,AA,K,Active
IL,44,R,25,0,700,3500,B,AA,AA,Active
OH,44,R,0,0,375,4000,B,AA,AA,Active
TX,28,R,1,1,1300,3000,W,AA,W,Active
IL,59,O,0,0,700,4768,B,AA,AA,Active
IL,29,R,5,0,900,3386,I,AA,AA,Active
